,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
250,Research Data Scientist - Center for Health Data Science & Analytics,USD 73K - 115K (Glassdoor est.),"O Master’s degree in computer science, Clinical Informatics, Public Health Administration, Business Administration, or Engineering, or an MD with experience in……",4.3,Houston Methodist Academic Institute,"Houston, TX",10000+ Employees,1919,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
251,"Senior Director, Data Science & AI - Enabling Functions",USD 123K - 179K (Glassdoor est.),"Communicate complex data science concepts and project outcomes to a variety of stakeholders, both technical and non-technical. LLM experience is a plus.…",4.2,Genmab,"Princeton, NJ",1001 to 5000 Employees,1999,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$1 to $5 billion (USD)
252,Actuarial Team Member,USD 80K (Employer est.),Works extensively with business leaders and technical experts to develop innovative business solutions and insights. Annual company-wide volunteer day.…,4.7,SFM Mutual Insurance Company,"Bloomington, MN",201 to 500 Employees,1983,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD)
253,"Associate Director, Commercial Data Science",USD 95K - 160K (Glassdoor est.),"Highly independent with the ability to develop innovative solutions to complex, unstructured problems. Strong background in data science, commercial analytics,……",4.2,Genmab,"Princeton, NJ",1001 to 5000 Employees,1999,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$1 to $5 billion (USD)
254,Senior Engineer - Generative AI Product Engineering,-1,"Bachelor’s degree in Computer Science, Computer Engineering or a technical field. You will work with a team of world-class AI engineers and researchers to……",3.9,Capital One,"San Jose, CA",10000+ Employees,1994,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
255,"Data Analyst, Senior Specialist",USD 92K - 127K (Glassdoor est.),"Leads the development of data quality standards, and the tools and methods used to measure and improve data quality.…",3.7,Vanguard,"Malvern, PA",10000+ Employees,1975,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable
256,Data Science Practitioner,USD 80K - 150K (Glassdoor est.),"Software engineering/programming - 2+ years. Bachelors in CS, math, data science, or similar or and additional three years of experience in lieu of a degree.…",4.2,Accenture Federal Services,"Washington, DC",10000+ Employees,1989,Subsidiary or Business Segment,Business Consulting,Management & Consulting,Unknown / Non-Applicable
257,Lead Software Engineer - AWS/Machine Learning,USD 117K - 158K (Glassdoor est.),"Executes creative software solutions, design, development, and technical troubleshooting with ability to think beyond routine or conventional approaches to……",4.0,JPMorgan Chase & Co,"Houston, TX",10000+ Employees,1799,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
258,Computer AI Engineer,USD 71K - 111K (Glassdoor est.),Strong problem-solving skills with an emphasis on manufacturing and process/product engineering. Developing vision models and data algorithms to increase and……,3.2,Howmet Aerospace,"Whitehall, MI",Unknown,1888,Company - Public,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable
259,Principal Data Science,USD 127K - 177K (Employer est.),"Operates as a subject matter expert on statistical analysis, test and design of experiment, analysis methodology, modeling & application, and financial impact……",3.9,Discover Financial Services,"Riverwoods, IL",10000+ Employees,1985,Company - Public,Banking & Lending,Financial Services,$1 to $5 billion (USD)
260,Deep Learning Data Science Manager,USD 117K - 161K (Glassdoor est.),"You will be responsible for the technical direction of client engagements while defining the project strategy, communicating complex concepts to both technical……",4.0,Deloitte,"Atlanta, GA",10000+ Employees,1850,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD)
261,"Manager, Data Scientist - Business Card & Payments",-1,You have hands-on experience developing data science solutions using open-source tools and cloud computing platforms. At least 4 years’ experience with SQL.…,3.9,Capital One,"New York, NY",10000+ Employees,1994,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
262,Deep Learning Data Science Manager,USD 105K - 157K (Glassdoor est.),"You will be responsible for the technical direction of client engagements while defining the project strategy, communicating complex concepts to both technical……",4.0,Deloitte,"Cleveland, OH",10000+ Employees,1850,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD)
263,Senior Engineer - Generative AI Product Engineering,-1,"Bachelor’s degree in Computer Science, Computer Engineering or a technical field. You will work with a team of world-class AI engineers and researchers to……",3.9,Capital One,"San Jose, CA",10000+ Employees,1994,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
264,"VP, Gen AI Architecture Leader",USD 150K - 250K (Employer est.),"Extensive leadership experience in AI, machine learning, or a related technical field. Degree in Computer Science, Artificial Intelligence, or a related field.…",4.2,Synchrony Financial,"Stamford, CT",10000+ Employees,2014,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
265,Principal Data Science,USD 127K - 177K (Employer est.),"Operates as a subject matter expert on statistical analysis, test and design of experiment, analysis methodology, modeling & application, and financial impact……",3.9,Discover Financial Services,"Chicago, IL",10000+ Employees,1985,Company - Public,Banking & Lending,Financial Services,$1 to $5 billion (USD)
266,"Software Engineer, (Artificial Intelligence/Machine Learning) AI/ML",USD 68K - 108K (Glassdoor est.),"Work with a cross-functional team to design, test, and develop software components written in C, C++ on a proprietary hardware platform running a scheduler,……",3.5,Kubota Tractor Corp,"Grapevine, TX",1001 to 5000 Employees,1971,Company - Private,Machinery Manufacturing,Manufacturing,$5 to $10 billion (USD)
267,Cloud Data Engineer - Solution Specialist,USD 81K - 112K (Glassdoor est.),"Generate design, development, test plans, detailed functional specifications documents, user interface design, and process flow charts for execution of……",4.0,Deloitte,"Gilbert, AZ",10000+ Employees,1850,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD)
268,Senior Engineer - Generative AI Product Engineering (Remote Eligible),-1,"Bachelor’s degree in Computer Science, Computer Engineering or a technical field. You will work with a team of world-class AI engineers and researchers to……",3.9,Capital One,"Wilmington, DE",10000+ Employees,1994,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
269,Senior Engineer - Generative AI Product Engineering,-1,"Bachelor’s degree in Computer Science, Computer Engineering or a technical field. You will work with a team of world-class AI engineers and researchers to……",3.9,Capital One,"McLean, VA",10000+ Employees,1994,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
270,Software Developer - AI Trainer (Contract),USD 40.00 Per Hour (Employer est.),You can work on your own schedule. A bachelor's degree (completed or in progress). You will work with the chatbots that we are building in order to measure……,4.0,DataAnnotation,United States,1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable
271,Senior Healthcare Data Scientist,USD 75K - 134K (Glassdoor est.),"Value-Based Healthcare Analysis: Conduct advanced economic analyses of value-based healthcare initiatives, including cost-effectiveness, cost-benefit, and cost……",3.2,Lifespark,St Louis Park,501 to 1000 Employees,2004,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
272,Data Scientist,USD 93K - 127K (Glassdoor est.),"Master’s Degree in Statistics, Data Science or related field. You will work collaboratively with data engineers and data mappers to design, build and scale our……",3.7,CARFAX,"Centreville, VA",1001 to 5000 Employees,1984,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable
273,"Engineer, Generative AI",USD 160K - 190K (Employer est.),"Conduct research, design, and develop generative AI-driven features and experiences customized to the unique preferences and behaviors of our users.…",3.7,Vagaro,"Pleasanton, CA",201 to 500 Employees,2009,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
274,Senior Data Scientist - AI SFL Scientific,USD 99K - 133K (Glassdoor est.),"Design, develop and apply state-of-the-art methods within AI and machine learning, including the utilization of GANs, CNNs, RNNs, LSTMs, BERT, and other models……",4.0,Deloitte,"Rosslyn, VA",10000+ Employees,1850,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD)
275,Sr Data Scientist - AI/ML,USD 91K - 130K (Glassdoor est.),"Strong business orientation and problem-solving skills with great attention to details; Ability to solve complex problems using creative ideas, state-of-the-art……",3.4,Kelly,"West Chester, PA",5001 to 10000 Employees,1946,Company - Public,HR Consulting,Human Resources & Staffing,$5 to $10 billion (USD)
276,Data Access Management Specialist,USD 76K - 120K (Glassdoor est.),"Bachelor’s degree in computer science, Information Technology, or a related field. Experience with process design, implementation, and improvement.…",4.0,Sanofi,"Cambridge, MA",10000+ Employees,1973,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
277,Data Visualization PowerBI Developer,USD 77K - 101K (Glassdoor est.),"Perform technical risk analysis and reliability assessments. The Artificial Intelligence & Data Engineering team leverages the power of data, analytics,……",4.0,Deloitte,"Gilbert, AZ",10000+ Employees,1850,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD)
278,Data Scientist Technical Specialist,USD 146K - 234K (Employer est.),The candidate for this role will be involved in the analysis of unstructured and semi-structured data. Candidate selected must have an active TS/SCI clearance……,3.6,Peraton,"Reston, VA",10000+ Employees,2017,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 billion (USD)
279,VP Data Science,USD 124K - 262K (Employer est.),And we provide institutions and independent advisors with investment and technology solutions to help invest their own clients’ money.…,4.3,Fidelity Investments,"Boston, MA",10000+ Employees,1946,Company - Private,Investment & Asset Management,Financial Services,$10+ billion (USD)
280,Enterprise Data Scientist,USD 146K - 234K (Employer est.),"Bachelor's degree Computer Science, Mathematics, or related discipline plus nine years of experience in Mathematics/Statistics, Computer Science, and analysis……",3.6,Peraton,"Columbia, MD",10000+ Employees,2017,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 billion (USD)
281,"Senior Data Scientist, Specialist",USD 105K - 137K (Glassdoor est.),"Creates alternative model approaches to assess highly complex model design and advance future capabilities, along with develop and implement advanced AI/ML……",3.7,Vanguard,"Charlotte, NC",10000+ Employees,1975,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable
282,"Principal Data Scientist, Experimentation",USD 160K - 225K (Employer est.),"Proactive analysis and modeling to identify opportunities to further develop the marketplace, including innovating and building cutting-edge auction mechanics /……",3.7,Rokt,"New York, NY",201 to 500 Employees,2012,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
283,AI Machine Learning Engineer,USD 110K - 200K (Employer est.),"Design, develop, and implement machine learning models for various applications. Bachelor's/Master's/Ph.D. degree in Computer Science, Machine Learning, or a……",3.8,Trinity Solar Careers,"Iselin, NJ",1001 to 5000 Employees,1994,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",$500 million to $1 billion (USD)
284,Lead Software Engineer- Big Data Streaming,USD 100K - 132K (Glassdoor est.),"Executes creative software solutions, design, development, and technical troubleshooting with ability to think beyond routine or conventional approaches to……",4.0,JPMorgan Chase & Co,"Columbus, OH",10000+ Employees,1799,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
285,Machine Learning Engineer,USD 77K - 113K (Glassdoor est.),Demonstrated success applying advanced statistical methods and machine learning algorithms to production/field data using Python or R.…,3.2,Howmet Aerospace,"Whitehall, MI",Unknown,1888,Company - Public,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable
286,"Senior Performance Software Engineer, Deep Learning Libraries",USD 180K - 339K (Employer est.),"Demonstrated strong C++ programming and software design skills, including debugging, performance analysis, and test design. Ways to stand out from the crowd:…",4.6,NVIDIA,"Santa Clara, CA",10000+ Employees,1993,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD)
287,Cleared Data Scientist - Workforce Analytics,USD 110K - 147K (Glassdoor est.),"Our high performing team works with clients to implement the full spectrum of data analytics and data science, from data architecture and storage to data……",3.7,Guidehouse,"Washington, DC",1001 to 5000 Employees,2018,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable
288,Senior Business Data Analyst,USD 90K - 115K (Glassdoor est.),Ability to use advanced analytic tools to develop predictive models. Responsible for both leading and participating in a team of analysts focused on the……,4.2,TTX,"Charlotte, NC",1001 to 5000 Employees,1955,Company - Private,Rail Transportation,Transportation & Logistics,$1 to $5 billion (USD)
289,Data Science Solutions Consultant Senior,-1,Engage with business stakeholders to design and own end-to-end solutions to empower data-driven decision-making. Mentors Data Science Sol Consultants.…,3.6,Elevance Health,"Atlanta, GA",10000+ Employees,2004,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD)
290,Generative AI Developer Consultant,USD 79K - 113K (Glassdoor est.),The GPS AI & Data Engineering (AI&DE) offering is responsible for developing advanced analytics products and applying data visualization and statistical……,4.0,Deloitte,"Rosslyn, VA",10000+ Employees,1850,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD)
291,Statistical Programmer,-1,"Typically requires bachelor’s degree in computer science, statistics, or related fields and 7+ years of experience in pharmaceutical / biotechnology companies;……",4.5,Talentech Consulting LLC,Remote,1 to 50 Employees,--,Contract,--,--,Unknown / Non-Applicable
292,Solutions Architect (Artificial Intelligence),USD 150.00 - 200.00 Per Hour (Employer est.),"Strong communication and collaboration skills, with the ability to effectively convey complex technical concepts to both technical and non-technical……",4.0,"Tentek, Inc.","Culver City, CA",51 to 200 Employees,1992,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD)
293,Consumer Products/Retail Data Science Manager,USD 82K - 143K (Glassdoor est.),"You will be responsible for the technical direction of client engagements while defining the project strategy, communicating complex concepts to both technical……",4.0,Deloitte,"Tampa, FL",10000+ Employees,1850,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD)
294,Senior Engineer - Generative AI Product Engineering (Remote Eligible),-1,"Bachelor’s degree in Computer Science, Computer Engineering or a technical field. You will work with a team of world-class AI engineers and researchers to……",3.9,Capital One,"Wilmington, DE",10000+ Employees,1994,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
295,Staff Machine Learning Engineer - Seattle,USD 235K - 270K (Employer est.),"Bachelor’s degree in Computer Science, a similar technical field of study or equivalent practical experience. In the US, access generous retirement plans like a……",3.7,Rokt,"Seattle, WA",201 to 500 Employees,2012,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
296,Technical Recruiter (AI/NLP space),-1,"Coordinate and conduct technical assessments, coding tests, and other relevant evaluations to ensure candidates' technical competencies align with job……",-1,Confidential,"Bellevue, WA",-1,-1,-1,-1,-1,-1
297,"Manager, Data Science - ML Automation and Code Quality",-1,"PhD in “STEM” field (Science, Technology, Engineering, or Mathematics) plus 3 years of experience in data analytics. (i.e., not GUI-driven ML).…",3.9,Capital One,"McLean, VA",10000+ Employees,1994,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
298,"Senior Director Data Science, AI Innovation Lab",USD 127K - 173K (Glassdoor est.),"Bachelor's degree and 12 years of work experience in a mathematical, statistical, computer science, engineering, physics, economics, or related quantitative……",4.0,HCSC,"Austin, TX",10000+ Employees,1936,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable
299,Consulting Member of Technical Staff - AI/ML and Search Infrastructure Engineering,USD 144K - 223K (Glassdoor est.),Ability to effectively communicate technical concepts verbally and through design. Experience with deploying ML models and monitoring tools is desirable.…,3.8,Oracle,"Austin, TX",10000+ Employees,1977,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
300,Data Scientist,USD 80K - 192K (Employer est.),"A degree in a related field (e.g., Computer Information Systems, Engineering), a degree in the physical/hard sciences (e.g. physics, chemistry, biology,……",3.7,National Security Agency,"Fort Meade, MD",Unknown,1962,Government,National Agencies,Government & Public Administration,Unknown / Non-Applicable
301,Data Scientist/San Francisco Bay area - Contractor,USD 85.00 - 105.00 Per Hour (Employer est.),"2-4+ years of experience performing data analysis; or 2+ years of experience performing data analysis and a Master's degree or PhD in statistics, math, physical……",3.8,EY,"San Francisco, CA",10000+ Employees,1989,Company - Private,Accounting & Tax,Financial Services,$10+ billion (USD)
302,"Senior Scientist, Commercial Data Science",USD 91K - 151K (Glassdoor est.),"Highly independent with the ability to develop innovative solutions to complex, unstructured problems. Strong background in data science, commercial analytics,……",4.2,Genmab,"Princeton, NJ",1001 to 5000 Employees,1999,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$1 to $5 billion (USD)
303,HP083 Data Curation Scientist,USD 70K - 80K (Employer est.),"Supporting users by answering their data-related questions, providing the user feedback to data providers of relevant missions or projects.…",3.8,"ADNET Systems, Inc.","Greenbelt, MD",201 to 500 Employees,1990,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD)
304,Lead/Senior Bioinformatics Research Scientist- Data Scientist,USD 104K - 186K (Employer est.),"Bachelor's degree in bioinformatics, cheminformatics, statistics/computer science (with a background in biological sciences or chemistry) or related field.…",4.6,St. Jude Children's Research Hospital,"Memphis, TN",5001 to 10000 Employees,1962,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
305,"System Dev Engineer II, AI/ML ADC",USD 103K (Employer est.),"They will dive deeply into technical issues and work diligently to improve the customer experience. You design, implement, and deploy software components and……",3.6,"Amazon Development Center U.S., Inc.","Denver, CO",5001 to 10000 Employees,--,Subsidiary or Business Segment,Shipping & Trucking,Transportation & Logistics,Unknown / Non-Applicable
306,Principal Data Scientist - AI Foundations,-1,"Master’s Degree in “STEM” field (Science, Technology, Engineering, or Mathematics) plus 3 years of experience in data analytics, or PhD in “STEM” field (Science……",3.9,Capital One,"McLean, VA",10000+ Employees,1994,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
307,Data Visualization PowerBI Developer,USD 71K - 96K (Glassdoor est.),"Perform technical risk analysis and reliability assessments. The Artificial Intelligence & Data Engineering team leverages the power of data, analytics,……",4.0,Deloitte,"Lake Mary, FL",10000+ Employees,1850,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD)
308,Principal Data Scientist - BCG X & BCG Fed,USD 253K (Employer est.),"You will collaborate on interdisciplinary teams of BCG X engineers, researchers, technical experts, designers, and BCG consultants to design, build, and deploy……",4.3,Boston Consulting Group,"Atlanta, GA",10000+ Employees,1963,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD)
309,Principal Data Scientist - AI Foundations,-1,"Master’s Degree in “STEM” field (Science, Technology, Engineering, or Mathematics) plus 3 years of experience in data analytics, or PhD in “STEM” field (Science……",3.9,Capital One,"New York, NY",10000+ Employees,1994,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
310,Data Visualization PowerBI Developer,USD 77K - 105K (Glassdoor est.),"Perform technical risk analysis and reliability assessments. The Artificial Intelligence & Data Engineering team leverages the power of data, analytics,……",4.0,Deloitte,"Mechanicsburg, PA",10000+ Employees,1850,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD)
311,Research Data Scientist - Center for Health Data Science & Analytics,USD 73K - 115K (Glassdoor est.),"O Master’s degree in computer science, Clinical Informatics, Public Health Administration, Business Administration, or Engineering, or an MD with experience in……",4.3,Houston Methodist Academic Institute,"Houston, TX",10000+ Employees,1919,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
312,Senior AI/ML Engineer,USD 73K - 112K (Glassdoor est.),"Bachelor’s Degree in Computer Science, Engineering, Mathematics, Computational Statistics, Data Science or related technical field or equivalent; Master’s……",3.8,CNA Insurance,"Chicago, IL",1001 to 5000 Employees,1897,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD)
313,ML Ops Engineer - HSS Orthopedic Data Innovation Lab,USD 140K (Employer est.),"ODIL is an applied research lab for interdisciplinary collaboration and solution design, the Lab will focus on advanced applications of analytics, machine……",4.0,Hospital for Special Surgery,"New York, NY",5001 to 10000 Employees,1863,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
314,Conversational AI Specialist,USD 65K - 110K (Employer est.),"Documenting conversational design, dialog flows, wireframes, and templates (flat vs goal-driven) to influence iterative approaches to improve conversational……",3.9,Discover Financial Services,"Riverwoods, IL",10000+ Employees,1985,Company - Public,Banking & Lending,Financial Services,$1 to $5 billion (USD)
315,Sr.Data Science Associate- Consumer Lending,USD 77K - 125K (Glassdoor est.),"Presents results of analyses to business units, explain technical and statistical concepts to non-technical/non-statistical associates and vice-versa.…",3.8,Santander Holdings USA Inc,"Boston, MA",5001 to 10000 Employees,1856,Company - Private,Banking & Lending,Financial Services,$500 million to $1 billion (USD)
316,Data Scientist - A/B testing and Pyspark,USD 70K - 102K (Glassdoor est.),"Your role will combine a judicious and tactful blend of Hi-Tech domain, Analytical experience, Client interfacing skills, and solution design and business……",3.2,Infosys,"Austin, TX",10000+ Employees,1981,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
317,"Data Analyst, Senior Specialist",USD 92K - 127K (Glassdoor est.),"Leads the development of data quality standards, and the tools and methods used to measure and improve data quality. Let’s make it count.…",3.7,Vanguard,"Malvern, PA",10000+ Employees,1975,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable
318,Senior Engineer - Generative AI Product Engineering,-1,"Bachelor’s degree in Computer Science, Computer Engineering or a technical field. We are committed to building world-class applied science and engineering teams……",3.9,Capital One,"San Jose, CA",10000+ Employees,1994,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
319,Principal Data Scientist Artificial Intelligence Machine Learning Scientist - Financial Advice,USD 125K - 168K (Glassdoor est.),"Strong technical knowledge on big data technologies, cloud, and opensource software tools. PhD in Computer Science, Statistics, Machine Learning, Data Science,……",3.7,Vanguard,"Malvern, PA",10000+ Employees,1975,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable
320,"Manager, Data Scientist - Business Card & Payments",-1,You have hands-on experience developing data science solutions using open-source tools and cloud computing platforms. “Big data” doesn’t faze you.…,3.9,Capital One,"New York, NY",10000+ Employees,1994,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
321,"Manager, Data Scientist - Compliance Risk",-1,You have hands-on experience developing data science solutions using open-source tools and cloud computing platforms. At least 4 years’ experience with SQL.…,3.9,Capital One,"Richmond, VA",10000+ Employees,1994,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
322,"Senior Director, Data Science & AI - Enabling Functions",USD 123K - 179K (Glassdoor est.),"Communicate complex data science concepts and project outcomes to a variety of stakeholders, both technical and non-technical. LLM experience is a plus.…",4.2,Genmab,"Princeton, NJ",1001 to 5000 Employees,1999,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$1 to $5 billion (USD)
323,"Research Director (Software Engineering, Data Science, AI/ML)",USD 102K - 158K (Glassdoor est.),Identify opportunities for innovation in our research operations and develop software solutions to address them.…,4.2,Resolution Technologies,"Atlanta, GA",51 to 200 Employees,2009,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,$5 to $25 million (USD)
324,Lead Engineer - Data Science and Applied Statistics,-1,"Communicate to teams delivering design, manufacturing, assembly, test, field, and repair activities. Uses LEAN tools and approaches, including decision theory……",4.0,GE,"Evendale, OH",10000+ Employees,1892,Company - Public,Machinery Manufacturing,Manufacturing,$10+ billion (USD)
325,Senior Engineer - Generative AI Product Engineering,-1,"Bachelor’s degree in Computer Science, Computer Engineering or a technical field. You will work with a team of world-class AI engineers and researchers to……",3.9,Capital One,"San Jose, CA",10000+ Employees,1994,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
326,"Associate Director, Commercial Data Science",USD 95K - 160K (Glassdoor est.),"Highly independent with the ability to develop innovative solutions to complex, unstructured problems. Strong background in data science, commercial analytics,……",4.2,Genmab,"Princeton, NJ",1001 to 5000 Employees,1999,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$1 to $5 billion (USD)
327,"Senior Data Analyst (Manager, ERAS Data)",USD 86K - 114K (Glassdoor est.),Offer on-the-spot technical support to the development team by solving data pipelines or issues with data visualization tools as needed during these events.…,4.5,Association of American Medical Colleges,"Washington, DC",501 to 1000 Employees,1876,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$100 to $500 million (USD)
328,Statistical Project Leader,USD 111K - 148K (Glassdoor est.),"Accountable for statistical aspects of clinical development plans, studies and submissions activities (when applicable), including quality, relevance to……",4.0,Sanofi,"Cambridge, MA",10000+ Employees,1973,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
329,Jr Data Scientist w/ Active TS/SCI clearance,USD 67K - 100K (Glassdoor est.),"May vary based on technical training, certification(s), or degree. 2+ years of experience as a Data Scientist, Data Engineer, ML Engineer, or Data Analysts and……",3.9,General Dynamics Information Technology,"Springfield, VA",10000+ Employees,1996,Subsidiary or Business Segment,Information Technology Support Services,Information Technology,$10+ billion (USD)
330,Senior Data Scientist,USD 105K - 141K (Glassdoor est.),Perform technical risk analysis and reliability assessments. 6+ years of experience in developing algorithms using data science technologies to build analytical……,4.0,Deloitte,"Gilbert, AZ",10000+ Employees,1850,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD)
331,Data Scientist [Post-Doc Research Fellow],USD 75K - 90K (Employer est.),"We specialize in working cross-disciplinary with EWI’s cutting-edge manufacturing technology teams including additive manufacturing (3D printing), advanced……",3.8,Edison Welding Institute Inc,"Buffalo, NY",51 to 200 Employees,1984,Nonprofit Organization,Machinery Manufacturing,Manufacturing,Unknown / Non-Applicable
332,"Senior Associate Data Scientist - Statistical Analysis, Financial Services",-1,"Master’s Degree in “STEM” field (Science, Technology, Engineering, or Mathematics), or PhD in “STEM” field (Science, Technology, Engineering, or Mathematics).…",3.9,Capital One,"Plano, TX",10000+ Employees,1994,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
333,Senior Data Scientist - AI SFL Scientific,USD 99K - 133K (Glassdoor est.),"Design, develop and apply state-of-the-art methods within AI and machine learning, including the utilization of GANs, CNNs, RNNs, LSTMs, BERT, and other models……",4.0,Deloitte,"Rosslyn, VA",10000+ Employees,1850,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD)
334,"Data Scientist, Fulfillment and Operations",USD 90K - 110K (Employer est.),"Master’s degree in Statistics, Economics, Analytics, or other quantitative field with 3+ years of applicable experience OR Bachelor’s degree in Statistics,……",3.4,SupplyHouse,United States,501 to 1000 Employees,2004,Company - Private,Other Retail Stores,Retail & Wholesale,Unknown / Non-Applicable
335,Data Scientist Senior Technical Specialist,USD 146K - 234K (Employer est.),"Requires strong technical and computational skills - engineering, physics, mathematics, coupled with the ability to code design, develop, and deploy……",3.6,Peraton,"Reston, VA",10000+ Employees,2017,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 billion (USD)
336,Sr. Data Scientist - Platform Financial Intelligence,USD 92K - 127K (Glassdoor est.),"Proficient in data science tools and programming languages such as Python, Spark/Scala, SQL. Work with a variety of Data/ Data science platforms such as……",3.7,FIS,"Seattle, WA",10000+ Employees,1968,Company - Public,Financial Transaction Processing,Financial Services,$5 to $10 billion (USD)
337,Data Visualization PowerBI Developer,USD 78K - 107K (Glassdoor est.),"Perform technical risk analysis and reliability assessments. The Artificial Intelligence & Data Engineering team leverages the power of data, analytics,……",4.0,Deloitte,"Lake Mary, FL",10000+ Employees,1850,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD)
338,Data Visualization PowerBI Developer,USD 77K - 101K (Glassdoor est.),"Perform technical risk analysis and reliability assessments. The Artificial Intelligence & Data Engineering team leverages the power of data, analytics,……",4.0,Deloitte,"Gilbert, AZ",10000+ Employees,1850,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD)
339,Data Scientist,USD 110K - 130K (Employer est.),"3-5 years of experience in data science or related field. Bachelor's degree in Mathematics, Statistics, Computer Science, or related field.…",-1,"InnovaSystems, A Cydecor Company","Arlington, VA",-1,-1,-1,-1,-1,-1
340,Lead Software Engineer - Big Data PySpark/PySQL,USD 98K - 136K (Glassdoor est.),"Executes creative software solutions, design, development, and technical troubleshooting with ability to think beyond routine or conventional approaches to……",4.0,JPMorgan Chase & Co,"Plano, TX",10000+ Employees,1799,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
