,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
32,HP083 Data Curation Scientist,USD 70K - 80K (Employer est.),"Supporting users by answering their data-related questions, providing the user feedback to data providers of relevant missions or projects.…",3.8,"ADNET Systems, Inc.","Greenbelt, MD",201 to 500 Employees,1990,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD)
33,Sr. Data Analyst,USD 50K - 80K (Employer est.),"5+ years experience in data analysis, data science, or database management roles. We're a fast-growing, web-focused business looking for a results-oriented……",-1,HvacDirect.com,"Troy, OH",-1,-1,-1,-1,-1,-1
34,Data Scientist [Post-Doc Research Fellow],USD 75K - 90K (Employer est.),"We specialize in working cross-disciplinary with EWI’s cutting-edge manufacturing technology teams including additive manufacturing (3D printing), advanced……",3.8,Edison Welding Institute Inc,"Buffalo, NY",51 to 200 Employees,1984,Nonprofit Organization,Machinery Manufacturing,Manufacturing,Unknown / Non-Applicable
35,Senior Data Analyst,USD 68K - 102K (Glassdoor est.),"Develops and maintains working relationships with business leaders/strategy owners, and advises executive roles through objective metrics of progress and……",3.7,Simmons Prepared Foods Inc,"Siloam Springs, AR",1001 to 5000 Employees,1949,Company - Private,Food & Beverage Manufacturing,Manufacturing,$1 to $5 billion (USD)
36,Data Scientist – NLP,USD 90K - 120K (Employer est.),Collaborate with other data scientists and engineers on data collection and feature design efforts across teams. Good scripting and programming skills.…,3.9,Solytics Partners LLC,"New York, NY",51 to 200 Employees,--,Company - Private,--,--,Unknown / Non-Applicable
37,Senior Healthcare Data Scientist,USD 75K - 134K (Glassdoor est.),"Value-Based Healthcare Analysis: Conduct advanced economic analyses of value-based healthcare initiatives, including cost-effectiveness, cost-benefit, and cost……",3.2,Lifespark,St Louis Park,501 to 1000 Employees,2004,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
38,Senior Statistician (Remote),USD 90K - 130K (Employer est.),Masters’ degree in relevant field with 5+ years of experience or PhD/DrPH degree in relevant field with 2+ years of experience. Smart and easy-going colleagues.…,3.0,TARGET RWE,"Durham, NC",51 to 200 Employees,2015,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable
39,Project Manager / Senior Data Analyst,-1,"Bachelor's degree in computer science, Data Science, Information Systems, or a related field is preferred. Proven experience leading data analytics initiatives……",3.4,HumanTouch LLC,United States,201 to 500 Employees,1998,Company - Private,Advertising & Public Relations,Media & Communication,$25 to $100 million (USD)
40,Supervisory Survey Statistician,USD 26.12 - 60.22 Per Hour (Employer est.),This vacancy is for a *Supervisory Survey Statistician* position in the Department of Commerce located in the U.S. Census Bureau Regional Offices.…,3.9,U.S. Census Bureau,"Lakewood, CO",10000+ Employees,1903,Government,National Agencies,Government & Public Administration,Unknown / Non-Applicable
41,"Director, Statistical Programming",USD 133K - 179K (Glassdoor est.),Bachelor's Degree an accredited institution in a science or in a technical field preferred. Global Biostatistics Data Management (BDM) Strategy to Improve Drug……,4.0,"Daiichi Sankyo, Inc.","Basking Ridge, NJ",10000+ Employees,1899,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$5 to $10 billion (USD)
42,Senior Data Scientist,USD 98K - 130K (Glassdoor est.),Perform technical risk analysis and reliability assessments. 6+ years of experience in developing algorithms using data science technologies to build analytical……,4.0,Deloitte,"Lake Mary, FL",10000+ Employees,1850,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD)
43,Data Scientist,USD 97K - 160K (Glassdoor est.),10+ years’ experience in Data Science or related field. The incumbent will assist with definition and implementation of data analysis and data modeling……,3.2,Quirch Foods,"Coral Gables, FL",201 to 500 Employees,1967,Company - Private,Wholesale,Retail & Wholesale,$500 million to $1 billion (USD)
44,Data Scientist,USD 250K - 400K (Employer est.),"Collaborate with data engineers to develop steps, layer models, and incorporate data processing tasks. Explore and compare available models, staying updated on……",-1,Okratin Solutions Pte Ltd,United States,-1,-1,-1,-1,-1,-1
45,AI Developer (YOU MUST LIVE IN NJ or PA ),USD 55K - 75K (Employer est.),"Perform general office duties inclusive of answering phones, emails, meetings, and other related job duties. Become effective at developing and checking in code……",4.5,CobbleStone Software,"Clementon, NJ",51 to 200 Employees,1995,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable
46,Machine Learning Data Scientist,USD 180K - 235K (Employer est.),"Experience collaborating with and across Agile teams to design, develop, test, implement, and support technical solutions. Columbia or Annapolis Junction, MD *.…",-1,THE JOSEF GROUP INC,"Annapolis Junction, MD",-1,-1,-1,-1,-1,-1
47,Senior Data Analyst (Hybrid Remote),USD 85K (Employer est.),"Bachelor's degree in computer science or related field. Collaborate with analytics team and others inside the organization to develop logic and data sets (SQL,……",4.1,Genuine Health Group,"Coral Gables, FL",1 to 50 Employees,--,Company - Public,--,--,Unknown / Non-Applicable
48,Lead Data Scientist,USD 97K - 158K (Glassdoor est.),"Manage use case design and build teams on day-to-day basis, providing guidance and feedback as they develop and operationalize data science models and……",4.7,The Friedkin Group,"Houston, TX",5001 to 10000 Employees,1969,Company - Private,Business Consulting,Management & Consulting,$5 to $10 billion (USD)
49,Data Scientist/San Francisco Bay area - Contractor,USD 85.00 - 105.00 Per Hour (Employer est.),"2-4+ years of experience performing data analysis; or 2+ years of experience performing data analysis and a Master's degree or PhD in statistics, math, physical……",3.8,EY,"San Francisco, CA",10000+ Employees,1989,Company - Private,Accounting & Tax,Financial Services,$10+ billion (USD)
50,"Associate Director, Omnichannel Data Scientist (Hybrid)",USD 110K - 185K (Glassdoor est.),Collaborate with cross-functional business partners and brand Omnichannel leads to understand business needs and requirements and develop novel ways to meet……,4.0,Otsuka Pharmaceutical,"Princeton, NJ",1001 to 5000 Employees,1989,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable
51,"Senior Scientist, Commercial Data Science",USD 91K - 151K (Glassdoor est.),"Highly independent with the ability to develop innovative solutions to complex, unstructured problems. Our offices are designed as open, community-based spaces……",4.2,Genmab,"Princeton, NJ",1001 to 5000 Employees,1999,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$1 to $5 billion (USD)
52,Mathematician and Machine Learning Scientist,-1,"A Ph.D. and postgraduate studies in Mathematics, or a closely related field. Collaborate with a multidisciplinary team of scientists, engineers, and AI……",-1,DEEL HONG KONG LIMITED,United States,-1,-1,-1,-1,-1,-1
53,Digital Forensic Data Analyst,USD 87K (Employer est.),"MINIMUM QUALIFICATIONS: *Graduation from an accredited college or university with a Bachelor's degree in Computer Sciences, Information Technology/Systems,……",-1,"Office of Inspector General, City of Chicago","Chicago, IL",-1,-1,-1,-1,-1,-1
54,Data Visualization Developer - Solution Specialist,USD 82K - 109K (Glassdoor est.),"Perform technical risk analysis and reliability assessments. The Artificial Intelligence & Data Engineering team leverages the power of data, analytics,……",4.0,Deloitte,"Atlanta, GA",10000+ Employees,1850,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD)
55,Data Science Manager - Supply Chain and Operations (PA - hybrid),USD 78K - 119K (Glassdoor est.),Valid driver's license and good driving record required. The ideal candidate will play a crucial role in deploying analytics solutions as products on platforms……,4.1,Air Products,"Allentown, PA",10000+ Employees,1940,Company - Public,Chemical Manufacturing,Manufacturing,$5 to $10 billion (USD)
56,Sr/Principal Statistical Programmer,USD 130K - 190K (Employer est.),"Master in Statistics, computer science or analytics field with 7. 7 years experience in SAS programming and Reporting. Two year Experience with SQL programming.…",-1,Clinvia LLC,"Redwood City, CA",-1,-1,-1,-1,-1,-1
57,Statistician,-1,"Provide technical review and feedback on statistical data to inform project milestones, progress reports, development plans, study design, database design, and……",4.5,IHRC INCORPORATED,Remote,Unknown,--,Contract,Biotechnology,Pharmaceutical & Biotechnology,Unknown / Non-Applicable
